wording,short_label,issue,theme
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,Abortion should be legal for any reason,abany,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,Legal abortion for fetal defects,abdefect,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,Legal abortion for mother’s health,abhlth,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,Legal abortion for married women,abnomore,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,Legal abortion for financial reasons,abpoor,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,Abortion legal for rape victims,abrape,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,Legal abortion for unmarried women,absingle,Abortion
Do you favor the death penalty for persons convicted of murder?,Death penalty for convicted murderers,cappun,Capital punishment
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,Allow antireligious college professors,colath,Free speech atheist
There are always some people whose ideas are considered bad or dangerous by other people. For instance somebody who is against all churches and religion. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library -- would you favor removing this book?,Remove antireligious book from library,libath,Free speech atheist
Consider somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion -- should he be allowed to speak?,Allow antireligious speeches,spkath,Free speech atheist
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,Communist teacher should be fired,colcom,Free speech communist
Consider a man who admits he is a Communist. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it?,Remove communist book from library,libcom,Free speech communist
Consider a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak?,Allow Communist to give speech.,spkcom,Free speech communist
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,Accept homosexual college professor,colhomo,Free speech homosex
Consider a man who admits that he is a homosexual. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library -- would you favor removing this book?,Remove pro-homosexuality library book,libhomo,Free speech homosex
