wording,short_label,issue,version
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,Abortion should be legal for any reason,abany,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,Legal abortion for fetal defects,abdefect,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,Legal abortion for mother’s health,abhlth,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,Legal abortion for married women,abnomore,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,Legal abortion for financial reasons,abpoor,previous project
Do you personally think it is wrong for a woman to have an abortion if the family has a very low income and cannot afford any more children.,Abortion due to poverty is wrong,abpoorw,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,Abortion legal for rape victims,abrape,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,Legal abortion for unmarried women,absingle,previous project
Even if it brings no immediate benefits - scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.,Govt. should fund basic research,advfront,previous project
Some people say that because of past discrimination - blacks should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of blacks is wrong because it discriminates against whites. What about your opinion - are you for preferential hiring and promotion of blacks?,Preferential hiring of Blacks is good,affrmact,previous project
America should follow its own interests - even if this leads to conflicts with other nations.,US should forcefully seek its interests,amownway,previous project
American television should give preference to American films and programs.,TV should prioritize US films & shows,amtv,previous project
Do you favor the death penalty for persons convicted of murder?,Death penalty for convicted murderers,cappun,previous project
Those in need have to learn to take care of themselves and not depend on others.,Those in need must learn self-reliance,careself,previous project
Religious leaders should not try to influence how people vote in elections.,Religious leaders shouldn’t sway voters,clergvte,previous project
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,Allow antireligious college professors,colath,previous project
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,Communist teacher should be fired,colcom,previous project
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,Accept homosexual college professor,colhomo,previous project
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,Allow teacher who is pro-military coup,colmil,previous project
Now consider a Muslim clergyman who preaches hatred of the United States. Should such a person be allowed to teach in a college or university?,Muslim hateful of USA can be teacher,colmslm,previous project
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,"Race science proponent, teach at Univ.",colrac,previous project
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,"Man work, woman home–best for all",fefam,previous project
Because of past discrimination employers should make special efforts to hire and promote qualified women.,Extra effort to hire qualified women,fehire,previous project
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,Preferential hiring of women is good,fejobaff,previous project
Foreigners should not be allowed to buy land in America.,Shouldn’t let foreigners buy US land,forland,previous project
Do you think the use of marijuana should be made legal?,Legalize marijuana,grass,previous project
On the whole - do you think it should be the government's responsibility to impose strict laws to make industry do less damage to the environment?,Govt. should impose strict envir. laws,grnlaws,previous project
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,Buying gun should require police permit,gunlaw,previous project
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,Govt. should improve lives of Afr. Am.,helpblk,previous project
